level,list_-3.0,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_3.0
203,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
204,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
205,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
206,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
207,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
208,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
209,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
210,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
211,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
212,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
213,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
214,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
215,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
216,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
217,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
218,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
219,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
220,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
221,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
222,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
223,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
224,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
225,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
226,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
227,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
228,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
229,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
230,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
231,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
232,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
233,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
234,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
235,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
236,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
237,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
238,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
239,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
240,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
241,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
242,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
243,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
244,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
245,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
246,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
247,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
248,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
249,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
250,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
251,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
252,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
253,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
254,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
255,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
256,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
257,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
258,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
259,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
260,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
261,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
262,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
263,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
264,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
265,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
266,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
267,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
268,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
269,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
270,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
271,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
272,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
273,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
274,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
275,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
276,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
277,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
278,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
279,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
280,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
281,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
282,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
283,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
284,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
285,0.6,0.2,0.1,0,0,0,0,0.1,0.3,0.4,0.9
